,Clinic_Name,Clinic_Street_Address,Clinic_City,Clinic_State,Clinic_Zip,County,Broken_Vial_Syringe,Vaccine_Drawn_But_Not_Administer,Lost_Or_Unaccounted_For_Vaccine,Open_Vial_But_Not_Administered,Other,Spoilage,Georeferenced Latitude & Longitude
1264,EMS Medical Management Inc,1000 N. Gravel Pike,Schwenksville,Pennsylvania,19473,Montgomery,0,0,0,45,29,1022,POINT (-75.467361 40.268)
1265,Healthy Starts Pediatrics,845 Sir Thomas Court,Harrisburg,Pennsylvania,17109,Dauphin,0,0,0,22,44,10,POINT (-76.821274 40.282371)
1266,Adagio Health-Mobile Unit,3292 State Route 257,Seneca,Pennsylvania,16346,Venango,14,0,0,419,0,450,POINT (-79.703532 41.381847)
1267,Wellspan Fam Med Granite Run,264 Granite Run Drive,Lancaster,Pennsylvania,17601,Lancaster,0,0,7,39,78,12,POINT (-76.332226 40.075783)
1268,Nason Hospital,105 Nason Dr,Roaring Spring,Pennsylvania,16673,Blair,0,0,0,0,16,10,POINT (-78.388945 40.338067)
1269,SCI-Rockview,1 ROCKVIEW PL,Bellefonte,Pennsylvania,16823,Centre,0,0,0,141,35,340,POINT (-77.776248 40.847984)
1270,CCN America LP,333 Penn Center Blvd,Pittsburgh,Pennsylvania,15235,Allegheny,0,0,0,26,8,0,POINT (-79.811846 40.427651)
1271,Lansdale Hospital,100 Medical Campus Drive,Lansdale,Pennsylvania,19446,Montgomery,0,0,0,19,79,994,POINT (-75.271523 40.2512)
1272,MLHC-Urgent Care in Broomall,1991 Sproul Road,Broomall,PA,19008,Delaware,0,0,0,0,49,0,POINT (-75.356299 39.961234)
1273,UPMC Northwest,100 Fairfield Drive,Seneca,Pennsylvania,16346,Venango,0,6,0,200,5,0,POINT (-79.706788 41.3597)
1274,Centerville Clinics-Washington,37 HIGHLAND AVE,Washington,Pennsylvania,15301,Washington,10,0,0,66,515,0,POINT (-80.244837 40.174671)
1275,Westmoreland County SHC-Greensburg,233 West Otterman Street,Greensburg,Pennsylvania,15601,Westmoreland,0,0,0,8,14,78,POINT (-79.548346 40.302922)
1276,GIANT PHARMACY-6321,859 NAZARETH PIKE,NAZARETH,PA,18064,Northampton,0,0,0,13,1943,0,POINT (-75.314175 40.730169)
1277,UPMC-SH Fam Med Loyalsock,1205 Grampian Blvd,Williamsport,Pennsylvania,17701,Lycoming,0,0,0,0,229,354,POINT (-76.982211 41.260617)
1278,Genoa Healthcare 20336,245 Race Street,Somerset,Pennsylvania,15501,Somerset,0,0,0,9,13,0,POINT (-79.07508 40.005764)
1279,AHN Ped Ped Alliance St Clair,1580 Mclaughlin Run Rd Pine Bridge Commons,Pittsburgh,Pennsylvania,15241,Allegheny,0,0,0,74,457,0,
1280,Noxen Medical Center,2888 SR 29 S # 2,Noxen,Pennsylvania,18636,Wyoming,0,0,0,0,168,0,
1281,AHOLD USA-GIANT PHARMACY-6289,2104 VAN REED ROAD,WEST LAWN,PA,19609,Berks,0,0,0,30,1392,0,POINT (-76.000781 40.342179)
1282,PHN-Oil City Health Center,811 Grandview Road,Oil City,Pennsylvania,16301,Venango,0,0,0,17,70,50,POINT (-79.6883 41.441352)
1283,Beittel Becker Pediatric Associates,2150 Noll Drive,Lancaster,Pennsylvania,17603,Lancaster,0,0,0,22,71,0,POINT (-76.361035 40.04775)
1284,WellSpan Pharmacy-Ephrata,183 N. Reading Road,Ephrata,Pennsylvania,17522,Lancaster,0,0,0,47,0,22,POINT (-76.1821 40.188381)
1285,Symbria Rx Great Lakes South LLC,1596 Hancock Avenue,Apollo (Part-Armstrong),Pennsylvania,15613,Armstrong,0,0,0,182,2,422,POINT (-79.570446 40.576025)
1286,Wellspan Fam Med Herrs Ridge,820 Chambersburg Road,Gettysburg,Pennsylvania,17325,Adams,5,0,0,5,26,0,POINT (-77.259876 39.841594)
1287,Adagio Health-Uniontown,205 Easy Street,Uniontown,Pennsylvania,15401,Fayette,0,0,0,811,48,249,POINT (-79.741696 39.901563)
1288,Moses Taylor Hospital,PHARMACY 700 QUINCY AVENUE,Scranton,Pennsylvania,18510,Lackawanna,0,0,0,129,0,240,
1289,Hyndman Area Health Center,144 5th Avenue PO Box 706,Hyndman,Pennsylvania,15545,Bedford,0,0,0,0,1,48,POINT (-78.716932 39.817234)
1290,15toknow,250 Mall Blvd,King of Prussia,Pennsylvania,19406,Montgomery,0,0,0,0,295,240,POINT (-75.390941 40.090833)
1291,Lititz Apothecary,100 E Main St,Lititz,Pennsylvania,17543,Lancaster,0,0,0,28,0,0,POINT (-76.304188 40.156715)
1292,VDI-DePietros Pharmacy,617 3rd Street,Dunmore,Pennsylvania,18512,Lackawanna,0,0,0,0,1114,226,POINT (-75.634095 41.415683)
1293,AFC Urgent Care Cheltenham,2401 W Cheltenham Ave,Wyncote,Pennsylvania,19095,Montgomery,0,0,0,0,401,1469,POINT (-75.157147 40.073482)
1294,MedsPack LLC,5006 E Trindle Road,Mechanicsburg,Pennsylvania,17050,Cumberland,0,0,0,0,116,87,POINT (-76.970687 40.225635)
1295,CKHS ChesPenn Hlth Srvs Est 9th,125 East 9th Street,Chester,Pennsylvania,19013,Delaware,0,0,0,9,401,288,POINT (-75.359715 39.853061)
1296,GIANT PHARMACY-6314,216 EAST FAIRMOUNT ST,COOPERSBURG,PA,18036,Lehigh,0,0,0,36,2013,402,POINT (-75.38429 40.51594)
1297,GIANT PHARMACY-6455,3560 ROUTE 611,BARTONSVILLE,PA,18321,Monroe,0,0,0,306,1316,759,POINT (-75.273235 41.002248)
1298,UPMC CCP Greater Pittsburgh,1811 Blvd of the Allies,Pittsburgh,Pennsylvania,15219,Allegheny,0,0,0,0,58,0,POINT (-79.981043 40.435842)
1299,VDI-Williams Valley Pharmacy,226 East Grand Avenue,Tower City,PA,17980,Schuylkill,0,0,0,421,518,1848,POINT (-76.556437 40.588623)
1300,Altoona Arth and Osteop Cntr,175 Meadowbrook Lane,Duncansville,Pennsylvania,16635,Blair,0,0,0,0,985,0,POINT (-78.417164 40.435193)
1301,Genoa Healthcare 00144,119 WALNUT ST,Johnstown,Pennsylvania,15901,Cambria,0,0,0,117,0,198,POINT (-78.921131 40.327745)
1302,AHN AC Primary Care Morningside,1748 Jancey Street,Pittsburgh,Pennsylvania,15206,Allegheny,0,0,0,1,0,18,POINT (-79.926669 40.485787)
1303,AHOLD USA-GIANT PHARMACY-6287,1000 SCOTT TOWN CENTER,BLOOMSBURG,PA,17815,Columbia,4,0,0,1730,169,448,POINT (-76.435938 41.005763)
1304,GHS-Johnson and Johnson Malvern,200 Great Valley Parkway,Malvern,Pennsylvania,19355,Chester,0,0,0,0,16,0,POINT (-75.54523 40.060584)
1305,The Wright Center-Kingston Clinic,2 Sharpe St,Kingston,Pennsylvania,18704,Luzerne,0,0,0,6,380,80,POINT (-75.888458 41.269781)
1306,Bechtels Pharmacy Inc,302 Main Street,Slatington,Pennsylvania,18080,Lehigh,0,0,0,55,1183,171,POINT (-75.608012 40.7525)
1307,East Berlin Pharmacy,335 WEST KING STREET EAST BERLIN,East Berlin,Pennsylvania,17316,Adams,0,0,0,0,171,0,POINT (-76.982572 39.939036)
1308,VDI-Blairsville Pharmacy,135 E Market St.,Blairsville,Pennsylvania,15717,Indiana,0,0,0,0,1280,1961,POINT (-79.259878 40.431083)
1309,VDI-Woodward Pharmacy,565 Spring St,Houtzdale,Pennsylvania,16651,Clearfield,0,0,0,246,6,0,POINT (-78.342988 40.826395)
1310,MEMORIAL HOSPITAL PHARMACY,1701 Innovation Drive Pharmacy - UPMC Memorial Hospital,York,Pennsylvania,17408,York,0,0,0,66,87,0,
1311,Woodlyn Pharmacy,1301 Jefferson Avenue,Woodlyn,Pennsylvania,19094,Delaware,0,0,0,0,15,573,POINT (-75.343867 39.874857)
1312,Custom Care Pharmacy-Milton-Retail,57 S. Front St.,Milton,Pennsylvania,17847,Northumberland,0,0,0,0,1006,7,POINT (-76.855706 41.019034)
1313,American HealthCare Group,733 Washington Road Suite 102,Pittsburgh,Pennsylvania,15228,Allegheny,0,5,0,325,191,2818,POINT (-80.045772 40.378593)
1314,Fam Hlth Care Ctr of Punxsutawney,83 Hillcrest Drive,Punxsutawney,Pennsylvania,15767,Jefferson,0,0,0,5,170,0,POINT (-79.000112 40.960155)
1315,Spartan Pharmacy Clairton Blvd,3520 Clairton Blvd,Pittsburgh,Pennsylvania,15227,Allegheny,0,0,0,5,520,561,POINT (-79.982054 40.372903)
1316,Mercer Pharmacy,737 Greenville Road,Mercer,Pennsylvania,16134,Mercer,0,0,0,44,218,191,POINT (-80.248432 41.248466)
1317,GIANT PHARMACY-6253,130 OLD YORK ROAD,NEW CUMBERLAND,PA,17070,Cumberland,0,1,0,45,723,0,POINT (-76.859992 40.215176)
1318,Family First Health-Hanover Center,1230 High Street,Hanover,Pennsylvania,17331,York,0,0,0,6,42,0,POINT (-77.002807 39.823741)
1319,SCI-Albion,10745 Route 18,Albion,Pennsylvania,16475,Erie,1,0,0,0,115,10,POINT (-80.368242 41.878157)
1320,FPC-Millersburg Fam Prac Center,100 1st St,Millersburg,Pennsylvania,17061,Dauphin,0,0,0,0,94,0,POINT (-76.962413 40.534461)
1321,GIANT PHARMACY-6122,1969 E 3RD ST,Williamsport,Pennsylvania,17701,Lycoming,0,0,0,41,678,0,POINT (-76.96158 41.24827)
1322,Ahmad Wardeh MD,7 Anthra Plaza Route 61,Coal Township,Pennsylvania,17866,Northumberland,0,0,0,0,11,0,
1323,Neshaminy Pharmacy LLC,5417 Neshaminy Blvd,Bensalem,Pennsylvania,19020,Bucks,0,0,0,33,68,0,POINT (-74.934709 40.145232)
1324,Hatboro Medical Associates,345 N YORK RD PO BOX 606,Hatboro,Pennsylvania,19040,Montgomery,0,0,0,282,6,71,POINT (-75.104814 40.182844)
1325,Excela Health Westmoreland Hospital,532 West Pittsburgh Street,Greensburg,Pennsylvania,15601,Westmoreland,0,0,0,29,0,66,POINT (-79.555514 40.301317)
1326,Scranton Pharmacy,311 Mulberry St,Scranton,Pennsylvania,18503,Lackawanna,0,0,0,0,0,40,POINT (-75.663224 41.411696)
1327,Yorke Pharmacy,5524 new falls road,Levittown,Pennsylvania,19056,Bucks,0,0,0,124,291,0,POINT (-74.871435 40.143257)
1328,GIANT PHARMACY-6445,1540 COWPATH ROAD,HATFIELD,PA,19440,Montgomery,0,0,0,65,1370,0,POINT (-75.289159 40.273186)
1329,Compliance Navig Specs DBA CNS Occ,58 Copperfield Cir,Lititz,Pennsylvania,17543,Lancaster,0,0,0,75,241,0,POINT (-76.308149 40.173971)
1330,Whitemarsh Pharmacy,553 Germantown Pike,Lafayette Hill,Pennsylvania,19444,Montgomery,1,0,0,92,832,417,POINT (-75.251552 40.086114)
1331,UPMC-SMFHC-New Kensington,1072 5th Ave,New Kensington,Pennsylvania,15068,Westmoreland,0,0,0,20,351,368,POINT (-79.765787 40.567883)
1332,Care-fill LTC Pharmacy,343 Mercer Road,Greenville,Pennsylvania,16125,Mercer,0,0,0,0,164,0,POINT (-80.366896 41.386439)
1333,FPC Montoursville Fam Prac Cntr,1500 Broad St,Montoursville,Pennsylvania,17754,Lycoming,0,0,0,0,38,0,POINT (-76.900042 41.246108)
1334,Huntingdon Family Care Center,835 Washington Street,Huntingdon,Pennsylvania,16652,Huntingdon,0,0,0,10,45,0,POINT (-78.017188 40.488302)
1335,UPMC-McKeesport,1500 5th Avenue,Mc Keesport,Pennsylvania,15132,Allegheny,0,0,0,45,101,656,POINT (-79.849218 40.3523)
1336,Heritage Valley Kennedy,25 Heckel Rd.,Mc Kees Rocks,Pennsylvania,15136,Allegheny,0,0,1,3,28,0,POINT (-80.092873 40.472422)
1337,Mifflin Cnty Correctional Fac,103 W. Market St.,Lewistown,Pennsylvania,17044,Mifflin,0,0,0,0,177,49,POINT (-77.576221 40.596459)
1338,Bellefonte Medical Clinic,527 Willowbank Street Bellefonte Medical Clinic,Bellefonte,Pennsylvania,16823,Centre,0,0,0,73,37,120,POINT (-77.783972 40.906633)
1339,LGHP Manor Ridge Family Medicine,2113 Manor Ridge Drive,Lancaster,Pennsylvania,17603,Lancaster,0,0,0,0,17,0,POINT (-76.361436 40.036526)
1340,Jersey Shore Hospital,1020 Thompson Street,Jersey Shore,Pennsylvania,17740,Lycoming,0,0,0,51,55,429,POINT (-77.267956 41.201647)
1341,Value Specialty Pharmacy,1333 Plank Road,Duncansville,Pennsylvania,16635,Blair,0,0,0,106,485,1012,POINT (-78.598168 40.47812)
1342,Allegheny Clinic Primary Care North,12311 Perry Highway 1st Fl Primary Care,Wexford,Pennsylvania,15090,Allegheny,0,0,0,0,9,0,POINT (-80.062157 40.636304)
1343,AHN AC FM JRMC 455 VLLY BROOK RD,455 VALLEY BROOK RD,CANONSBURG,PENNSYLVANIA,15317,Washington,0,0,0,0,13,0,POINT (-80.085334 40.279702)
1344,GHS JNJ  Ft Washington,7050 Camp Hill Road,Fort Washington,Pennsylvania,19034,Montgomery,0,0,0,7,0,0,POINT (-75.205319 40.127367)
1345,Knights Medical Associates,3034 Knights Rd,Bensalem,Pennsylvania,19020,Bucks,0,0,0,0,356,0,POINT (-74.950237 40.105361)
1346,Hometown Healthcare of NEPA,921 Drinker Turnpike,Moscow,Pennsylvania,18444,Lackawanna,0,0,0,0,0,299,POINT (-75.514251 41.310339)
1347,WellSpan Ped Medic East Market,2003 East Market Street,York,Pennsylvania,17402,York,0,0,0,5,70,0,POINT (-76.687953 39.97352)
1348,Greentree Medical Associates,651 Holiday Drive Foster Plaza Bldg #5,Pittsburgh,Pennsylvania,15220,Allegheny,0,0,0,0,251,0,
1349,East Suburban Pedi-Monroeville,2566 Haymaker Road,Monroeville,Pennsylvania,15146,Allegheny,0,0,0,11,74,0,POINT (-79.751285 40.428239)
1350,Greenville Pharmacy,43 Williamson Road,Greenville,Pennsylvania,16125,Mercer,0,0,0,0,283,0,POINT (-80.358776 41.412859)
1351,Endless Mountains Pharmacy,1638 State Route 106 PO Box 189,Clifford,Pennsylvania,18413,Susquehanna,0,0,0,337,0,991,POINT (-75.598087 41.648539)
1352,Main Line Health-Paoli Hospital,255 W LANCASTER AVE,Paoli,Pennsylvania,19301,Chester,0,0,0,10,0,0,POINT (-75.499817 40.042098)
1353,Pagoda Pharmacy,600,Reading,Pennsylvania,19601,Berks,0,0,0,0,434,380,
1354,FHP Pharmacy Services,550 Locust Street,Saint Michael,Pennsylvania,15951,Cambria,0,0,0,65,311,0,POINT (-78.756376 40.333491)
1355,INDIANA REGIONAL MEDICAL CENTER,835 HOSPITAL ROAD,Indiana,Pennsylvania,15701,Indiana,0,4,0,174,36,0,POINT (-79.158891 40.608642)
1356,Gerritys Pharmacy Keyser,1782 NORTH KEYSER AVE,Scranton,Pennsylvania,18508,Lackawanna,0,0,0,0,100,0,POINT (-75.667793 41.445253)
1357,Haydens Pharmacy,505 NORTH FOURTH STREET EXCELA MEDICAL BUILDING,Youngwood,Pennsylvania,15697,Westmoreland,0,0,0,0,0,2340,POINT (-79.574993 40.246111)
1358,WFM-Mont Alto Health Center,6155 Anthony Highway,Waynesboro,Pennsylvania,17268,Franklin,0,0,0,5,329,42,POINT (-77.567484 39.838221)
1359,Tower Health-Gateway Fam Med,1020 Grings Hill Road,Reading,Pennsylvania,19608,Berks,0,0,0,0,0,36,POINT (-76.007806 40.291687)
1360,Wellspan Fam Med Lake St,136 Lake Street,Ephrata,Pennsylvania,17522,Lancaster,0,0,8,78,27,0,POINT (-76.177569 40.175666)
1361,Sadler Health Center,100 North Hanover Street,Carlisle,Pennsylvania,17013,Cumberland,10,0,0,48,781,550,POINT (-77.18887 40.203176)
1362,Wellspan Fam Med Valley Green,1790 Old Trail Road,Etters,Pennsylvania,17319,York,0,0,1,0,88,6,POINT (-76.807286 40.138378)
1363,Quaker Community Pharmacy,304 Village at Stones Crossing,Easton,Pennsylvania,18045,Northampton,0,0,0,9,0,0,POINT (-75.270684 40.676174)
1364,PHN-Wayne Primary Care,650 East Avenue,Erie,Pennsylvania,16503,Erie,0,0,0,0,0,20,POINT (-80.06264 42.137121)
1365,LCH Health and Community Services,731 West Cypress Street,Kennett Square,Pennsylvania,19348,Chester,0,0,0,26,374,0,POINT (-75.722875 39.844143)
1366,UPMC Susquehanna-Williamsport,700 High Street,Williamsport,Pennsylvania,17701,Lycoming,21,41,0,142,527,160,POINT (-77.014432 41.24547)
1367,Wilkes-Barre General Hospital,575 North River Street Pharmacy Department,Wilkes Barre,Pennsylvania,18764,Luzerne,13,0,0,0,7120,117,POINT (-75.868165 41.258261)
1368,Dingmans Medical,1592 Route 739,Dingmans Ferry,Pennsylvania,18328,Pike,0,0,0,0,230,0,POINT (-74.920273 41.272837)
1369,VDI-Mainline Pharmacy-Somerset,168 West Main St,Somerset,Pennsylvania,15501,Somerset,0,0,0,0,2375,1986,POINT (-79.080619 40.008446)
1370,Melmark,2600 Wayland Road,Berwyn,Pennsylvania,19312,Chester,1,30,0,0,0,0,POINT (-75.447562 39.99767)
1371,UPMC CCP Mt Lebanon Pediatrics,603 Washington Road,Pittsburgh,Pennsylvania,15228,Allegheny,0,0,0,0,8,0,POINT (-80.043919 40.383082)
1372,Forest Hills Pharmacy Inc,552 LOCUST STREET P.O. BOX 306,Saint Michael,Pennsylvania,15951,Cambria,0,0,0,11,49,0,
1373,Chambers Apothecary,278 Lincoln Way East,Chambersburg,Pennsylvania,17201,Franklin,0,0,0,243,248,0,POINT (-77.657428 39.936982)
1374,Whitman Pharmacy,4950 YORK RD,Holicong,Pennsylvania,18928,Bucks,0,0,0,0,30,36,POINT (-75.053823 40.329877)
1375,University of Pittsburgh,4041 Fifth Avenue 3719 Terrace Street,Pittsburgh,Pennsylvania,15213,Allegheny,4,16,0,485,418,51,
1376,Interim HealthCare-Western PA,127 N BRADY ST,Du Bois,Pennsylvania,15801,Clearfield,0,6,0,49,145,684,POINT (-78.760308 41.119414)
1377,VDI-Boalsburg Apothecary,3901 S Atherton St,State College,Pennsylvania,16801,Centre,0,0,0,398,1,0,POINT (-77.801278 40.781213)
1378,UPMC-Primary Care Lewisburg,260 Reitz Boulevard,LEWISBURG,PA,178379220,Union,0,0,0,0,0,96,POINT (-76.911123 40.962152)
1379,Susquehanna Valley Med Spec PC,6850 Lows Road,Bloomsburg,Pennsylvania,17815,Columbia,0,0,0,0,861,120,POINT (-76.352033 41.033378)
1380,Wyoming County SHC,5632 SR 6,Tunkhannock,Pennsylvania,18657,Wyoming,0,0,0,77,8,60,POINT (-75.963812 41.568522)
1381,York County SHC,1750 North George Street,York,Pennsylvania,174041807,York,0,0,0,0,58,0,POINT (-76.735442 39.985196)
1382,Keystone Internal Medicine,830 5th Ave. Suite 201,Chambersburg,Pennsylvania,17201,Franklin,0,0,0,0,78,0,POINT (-77.644983 39.945106)
1383,KRHC-Ridgway Medical Center,49 Ridgmont Dr,Ridgway,Pennsylvania,15853,Elk,0,0,0,250,139,265,POINT (-78.743436 41.434856)
1384,AHN-AC IM JRMC Internal Med,810 CLAIRTON BOULEVARD,Pittsburgh,Pennsylvania,15236,Allegheny,0,0,0,0,4,0,POINT (-79.944002 40.325213)
1385,Pennyslvania Automated Services Inc,620 Lowry Ave,Jeannette,Pennsylvania,15644,Westmoreland,0,0,0,0,1486,0,POINT (-79.616401 40.320122)
1386,Cumberland County SHC,431 East North Street,Carlisle,Pennsylvania,17013,Cumberland,0,0,0,7,40,0,POINT (-77.179228 40.203803)
1387,Eden Park Pediatrics-Brownstown,4221 Oregon Pike,Ephrata,Pennsylvania,17522,Lancaster,0,0,0,9,194,0,POINT (-76.215964 40.13184)
1388,Adams County SHC,424 East Middle Street,Gettysburg,Pennsylvania,173251926,Adams,0,0,0,2,103,0,POINT (-77.22194 39.829854)
1389,FPC-Millersburg Fam Prac Center,100 South 1st St,Millersburg,Pennsylvania,17061,Dauphin,0,0,0,0,94,0,POINT (-76.962413 40.534461)
1390,Canadohta Lake Health Center,35255 Brown Hill Road,Union City,Pennsylvania,16438,Erie,0,0,0,0,151,103,POINT (-79.849136 41.792247)
1391,VDI-Mainline Pharmacy Portage,619 MAIN ST,Portage,Pennsylvania,15946,Cambria,0,0,0,0,0,983,POINT (-78.672806 40.387351)
1392,Stines Pharmacy Inc,1 East Main Street,Schuylkill Haven,Pennsylvania,17972,Schuylkill,0,0,0,3,164,0,POINT (-76.172708 40.629309)
1393,LGH-Manheim Family Medicine,700 Lancaster Road,Manheim,Pennsylvania,17545,Lancaster,0,0,0,19,98,0,POINT (-76.381345 40.149632)
1394,WCP Washington,95 Leonard Avenue Bldg#2  Ste#101,Washington,Pennsylvania,15301,Washington,0,0,0,0,33,0,POINT (-80.240923 40.181738)
1395,Saxonburg Drug,115 Pittsburgh Street,Saxonburg,Pennsylvania,16056,Butler,0,0,0,18,60,0,POINT (-79.81417 40.74967)
1396,DCI-Shenango Valley,737 Brookshire Drive,Hermitage,Pennsylvania,16148,Mercer,0,0,0,21,0,0,POINT (-80.452602 41.243736)
1397,Associates in Ophthalmology Ltd.,9970 Mountain View Dr,West Mifflin,Pennsylvania,15122,Allegheny,0,0,0,18,132,0,POINT (-79.940246 40.34165)
1398,MARTINS PHARMACY-6290,800 VANDERBILT ROAD,CONNELLSVILLE,PA,15425,Fayette,0,0,0,22,578,0,POINT (-79.603029 40.018548)
1399,UPMC-Northwest,100 Fairfield Drive,Seneca,Pennsylvania,16346,Venango,2,6,0,420,125,181,POINT (-79.707926 41.360026)
1400,SLPG-ABW Pediatrics Wind Gap,487 East Moorsetown Road,Wind Gap,Pennsylvania,18091,Northampton,0,0,0,52,0,0,POINT (-75.305134 40.830822)
1401,Mainline Pharmacy-Hastings,317 Beaver St.,Hastings,Pennsylvania,16646,Cambria,0,0,0,0,1544,0,POINT (-78.712152 40.665551)
1402,KRHC-Cameron County HC-MAIN,90 East 2nd Street,Emporium,Pennsylvania,15834,Cameron,0,0,0,343,0,326,POINT (-78.235651 41.510151)
1403,AHN AC IM Boncrsi Brn Johnsn PC Bnk,2891 Banksville Rd,PITTSBURGH,PA,15216,Allegheny,0,0,0,0,68,0,POINT (-80.040491 40.403572)
1404,Tower Health-Laureldale Fam Med,3212 Kutztown Road,Laureldale,Pennsylvania,19605,Berks,0,13,0,0,102,0,POINT (-75.920253 40.384945)
1405,Bucks County HD Levittown Office,707 Neshminy Mall BCDH Neshaminy Mall Clinic,Bensalem,Pennsylvania,19020,Bucks,0,0,0,0,0,78,
1406,Advocare Broomall Ped Lawrence Prk,1991 Sproul Road Lawrence Park Center,Broomall,Pennsylvania,19008,Delaware,0,0,0,0,9,0,
1407,DR MOLLY TROSTLE DO INTERNAL MED,881 Hills Plaza Dr,Ebensburg,Pennsylvania,15931,Cambria,0,0,0,1,21,0,POINT (-78.75919 40.469523)
1408,AHN-AC IM PC BRENTWOOD,3720 Brownsville Road 3rd FL,PITTSBURGH,PA,152273520,Allegheny,0,0,0,4,23,0,POINT (-79.975385 40.372214)
1409,Brundages Waymart Pharmacy,238 Belmont Street,Waymart,Pennsylvania,18472,Wayne,0,1,0,528,42,554,POINT (-75.408272 41.582354)
1410,VDI-See Right Pharmacy,2647 N 6th St,Harrisburg,Pennsylvania,17110,Dauphin,0,12,0,132,28,0,POINT (-76.894576 40.289845)
1411,Haeun Pharmacy,7300 Old York Rd,Melrose Park,Pennsylvania,19027,Montgomery,0,0,0,409,30,76,POINT (-75.13651 40.062353)
1412,Burick Cntr for Hlth and Wellnss,2005 Technology Parkway,Mechanicsburg,Pennsylvania,17050,Cumberland,0,0,0,0,63,0,POINT (-76.976706 40.284946)
1413,Robert Packer Hospital,One Guthrie Square,Sayre,Pennsylvania,18840,Bradford,0,0,0,88,255,0,
1414,VDI-Hershey Pharmacy and Gift Shop,731 Cherry Dr 2,Hershey,Pennsylvania,17033,Dauphin,0,0,0,260,5,10,POINT (-76.658613 40.271188)
1415,Geisinger Lewistown Hospital,400 Highland Ave Pharmacy Dept. 6th floor,Lewistown,Pennsylvania,17044,Mifflin,0,0,0,0,103,0,POINT (-77.567402 40.617853)
1416,UPMC/HC Pharmacy,3175 East Carson Street,Pittsburgh,Pennsylvania,15203,Allegheny,0,0,0,0,0,3300,POINT (-79.962158 40.423829)
1417,Armstrong County Memorial Hospital,1 NOLTE DR,Kittanning,Pennsylvania,16201,Armstrong,47,10,0,365,191,1453,POINT (-79.562335 40.812095)
1418,Family Practice Center-Laporte,217 King Street PO Box  95,Laporte,Pennsylvania,18626,Sullivan,0,0,0,3,97,0,POINT (-76.494931 41.423636)
1419,Yorktown Pharmacy,8110 Old York Road,Elkins Park,Pennsylvania,19027,Montgomery,0,0,0,4,410,661,POINT (-75.127344 40.077038)
1420,Aspire Health Concepts Inc,49 Prince Street,Harrisburg,Pennsylvania,17109,Dauphin,0,0,0,731,100,0,POINT (-76.810498 40.302349)
1421,Wellspan Fam Med-Roosevelt Ave,1401 Roosevelt Avenue,York,PA,17404,York,0,0,0,77,39,0,POINT (-76.758733 39.97938)
1422,Penn Highlands Elk,763 Johnsonburg Rd,Saint Marys,Pennsylvania,15857,Elk,1,28,9,73,4,1320,POINT (-78.576487 41.426298)
1423,Kennies Pharmacy-Spring Grove,440 N Main St,Spring Grove,Pennsylvania,17362,York,0,0,0,0,56,0,POINT (-76.862173 39.884416)
1424,Fulton County SHC,182 Buchanan Trail PO Box 666,Mc Connellsburg,Pennsylvania,17233,Fulton,0,0,0,0,49,0,POINT (-77.988451 39.928358)
1425,St. Lukes Uni  Hlth Network Lehigh,GNADEN HUETTEN HOSPITAL PHARMACY DEP 211 NORTH 12TH STREET,Lehighton,Pennsylvania,18235,Carbon,0,0,0,40,99,405,
1426,Horsham Pharmacy LLC,316 Horsham Road Suite E,Horsham,Pennsylvania,19044,Montgomery,24,0,0,1090,26,255,POINT (-75.135545 40.181869)
1427,PRIMARY CARE PHARMACY SERVICES INC,2027 Lebanon Church Road,West Mifflin,Pennsylvania,15122,Allegheny,0,0,0,478,17,230,POINT (-79.949494 40.348056)
1428,AHN Ped Ped Ally Chartiers McMurray,3001 Waterdam Plaza Drive,Mc Murray,Pennsylvania,15317,Washington,0,0,0,4,269,0,POINT (-80.135651 40.264143)
1429,Health Services Pharmacy,1201 Grampian Blvd,Williamsport,Pennsylvania,17701,Lycoming,0,0,0,65,6,0,POINT (-76.983321 41.260631)
1430,Bethlehem Pharmacy Rx Inc,817 East 4th Street,Bethlehem (Part-Northampton),Pennsylvania,18015,Northampton,0,0,0,12,648,1344,POINT (-75.36709 40.610748)
1431,FPC Loysville Fam Prac Cntr,1100 Montour Road,Loysville,Pennsylvania,17047,Perry,14,0,0,1,236,0,POINT (-77.339507 40.364217)
1432,GEISINGER WYOMING VALLEY,1000 EAST MOUNTAIN BLVD M.C. 34-06,Wilkes Barre,Pennsylvania,18711,Luzerne,2,1,0,135,304,818,POINT (-75.811717 41.256997)
1433,Grand View Hospital,700 Lawn Ave.,Sellersville,Pennsylvania,18960,Bucks,6,0,0,60,20,168,POINT (-75.32448 40.362761)
1434,AHN-SVMG McClelland Family Practice,2240 East 38th Street,Erie,Pennsylvania,16510,Erie,0,0,0,24,32,0,POINT (-80.017741 42.120292)
1435,GHS-BLOOMSBURG HOSPITAL,549 Fair Street,Bloomsburg,Pennsylvania,17815,Columbia,0,0,0,0,20,0,POINT (-76.453193 41.008431)
1436,We Care Pediatrics,404 Middletown Blvd Penns Square,Langhorne,Pennsylvania,19047,Bucks,0,0,0,0,1078,319,
1437,Scranton Prim Hlth Cre Cntr Alder,425 ALDER ST,Scranton,Pennsylvania,18505,Lackawanna,0,0,0,3,25,140,POINT (-75.665979 41.399796)
